Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
5,2,39.5,0,3,513
5,2,39.5,0,2,898
5,2,39.5,0,0,1007
5,2,49.5,1,1,16970
5,2,49.5,1,3,7790
5,2,49.5,1,2,6380
5,2,49.5,1,0,6270
5,2,49.5,0,1,1907
5,2,49.5,0,3,446
5,2,49.5,0,2,547
5,2,49.5,0,0,901
5,2,59.5,1,1,16259
5,2,59.5,1,3,6060
5,2,59.5,1,2,3392
5,2,59.5,1,0,4370
5,2,59.5,0,1,10726
5,2,59.5,0,3,2492
5,2,59.5,0,2,1530
5,2,59.5,0,0,2635
5,3,29.5,1,1,4182
5,3,29.5,1,3,3031
5,3,29.5,1,2,2831
5,3,29.5,1,0,2016
5,3,29.5,0,1,915
5,3,29.5,0,3,441
5,3,29.5,0,2,665
5,3,29.5,0,0,714
5,3,39.5,1,1,3716
5,3,39.5,1,3,2682
5,3,39.5,1,2,2235
5,3,39.5,1,0,1609
5,3,39.5,0,1,470
5,3,39.5,0,3,238
5,3,39.5,0,2,317
5,3,39.5,0,0,352
5,3,49.5,1,1,4148
5,3,49.5,1,3,2334
5,3,49.5,1,2,1424
5,3,49.5,1,0,1230
5,3,49.5,0,1,405
5,3,49.5,0,3,123
5,3,49.5,0,2,122
5,3,49.5,0,0,216
5,3,59.5,1,1,3609
5,3,59.5,1,3,1530
5,3,59.5,1,2,625
5,3,59.5,1,0,804
5,3,59.5,0,1,1500
5,3,59.5,0,3,384
5,3,59.5,0,2,165
5,3,59.5,0,0,384
5,4,29.5,1,1,4708
5,4,29.5,1,3,3959
5,4,29.5,1,2,2048
5,4,29.5,1,0,1499
5,4,29.5,0,1,937
5,4,29.5,0,3,469
5,4,29.5,0,2,555
5,4,29.5,0,0,691
5,4,39.5,1,1,5580
5,4,39.5,1,3,4661
5,4,39.5,1,2,2216
5,4,39.5,1,0,1781
5,4,39.5,0,1,788
5,4,39.5,0,3,417
5,4,39.5,0,2,401
5,4,39.5,0,0,426
5,4,49.5,1,1,5453
5,4,49.5,1,3,3629
5,4,49.5,1,2,1418
5,4,49.5,1,0,1343
5,4,49.5,0,1,394
5,4,49.5,0,3,154
5,4,49.5,0,2,118
5,4,49.5,0,0,190
5,4,59.5,1,1,5044
5,4,59.5,1,3,2497
5,4,59.5,1,2,682
5,4,59.5,1,0,848
5,4,59.5,0,1,1110
5,4,59.5,0,3,284
5,4,59.5,0,2,134
5,4,59.5,0,0,312
5,0,29.5,1,1,9
5,0,29.5,1,3,3
5,0,29.5,1,2,4
5,0,29.5,1,0,11
5,0,29.5,0,1,11
5,0,29.5,0,2,3
5,0,29.5,0,0,15
