C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-2;6235
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-3;5773
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-4;6747
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-1;3593
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-2;661
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-3;988
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-4;2024
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-1;16305
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-2;4705
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-3;3183
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-4;4590
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-1;16880
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-2;2846
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-3;2228
B00-2;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-4;5005
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-1;4023
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-2;2136
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-3;2370
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-4;2119
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-1;943
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-2;350
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-3;624
B00-2;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-4;725
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-1;4360
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-2;2284
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-3;2336
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-4;2038
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-1;565
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-2;191
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-3;347
B00-2;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-4;458
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-1;5305
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-2;2295
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-3;1492
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-4;1595
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-1;633
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-2;144
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-3;173
B00-2;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-4;360
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-1;4377
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-2;1454
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-3;643
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-4;982
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-1;2440
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-2;423
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-3;259
B00-2;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-4;629
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-1;3926
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-2;2556
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-3;1710
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-4;1407
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-1;793
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-2;360
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-3;510
B00-2;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-4;556
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-1;5253
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-2;3374
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-3;2092
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-4;1740
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-1;681
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-2;240
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-3;363
B00-2;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-4;472
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-1;5689
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-2;2874
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-3;1386
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-4;1376
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-1;501
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-2;85
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-3;126
B00-2;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-4;275
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-1;5190
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-2;2037
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-3;614
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-4;829
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-1;1482
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-2;299
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-3;163
B00-2;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-4;375
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-1;8
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-2;1
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-3;2
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-4;6
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-1;8
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-2;1
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-3;4
B00-2;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-4;17
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-1;3
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-2;1
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-3;1
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-4;4
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-1;8
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-2;1
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-3;5
B00-2;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-4;11
B00-2;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-1;1
B00-2;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-2;1
B00-2;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-3;2
B00-2;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-4;3
B00-2;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-1;5
B00-2;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-4;1
B00-2;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-1;1
B00-2;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-3;1
B00-2;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-4;2
B00-2;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-1;10
B00-2;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-4;3
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-1;5558
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-2;2397
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-3;3654
B00-3;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-4;3741
